J,alpha,target,phi_E1,phi_E0,method,source,total_n,fwer,min_g1,mean_g1,min_g2
4,0.05,0.9,0.6,0.4,Tabata,local exact engine,384,0.043138932905045446,0.9040781540168045,0.9362320033251231,0.9329800828423686
4,0.05,0.9,0.6,0.4,ROED-EA,local exact engine,384,0.043138932905045446,0.9040781540168045,0.9362320033251231,0.9329800828423686
4,0.05,0.9,0.6,0.4,ROED-B,local exact engine,377,0.048822936172990605,0.9024250976856382,0.9343039312747817,0.9311573110313985
4,0.05,0.9,0.6,0.4,ROED,local exact engine,377,0.048822936172990605,0.9024250976856382,0.9343039312747817,0.9311573110313985
4,0.1,0.8,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",244,0.08353,0.80161,0.8655871428571429,0.88341
4,0.1,0.8,0.6,0.4,Tabata,local exact engine,280,0.07728809081873567,0.8121270752838641,0.8737986614140913,0.8557551709848447
4,0.1,0.8,0.6,0.4,ROED-EA,local exact engine,276,0.09364718113023529,0.8045857302804278,0.8725143813880415,0.8386493637302623
4,0.1,0.8,0.6,0.4,ROED-B,local exact engine,265,0.09154095789413952,0.80195417427035,0.8644326776523642,0.8444400929603431
4,0.1,0.8,0.6,0.4,ROED,local exact engine,262,0.09941685732586292,0.8016839553910972,0.8642943519050698,0.8444400929603431
4,0.1,0.9,0.6,0.4,MERIT,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario",348,0.04798,0.90222,0.9357592857142857,0.94921
4,0.1,0.9,0.6,0.4,Tabata,local exact engine,376,0.07515607005742919,0.900233012100139,0.9323205202357514,0.9532399669732534
4,0.1,0.9,0.6,0.4,ROED-EA,local exact engine,364,0.08790237121532307,0.9029862630581924,0.9340594381267612,0.9395454708148574
4,0.1,0.9,0.6,0.4,ROED-B,local exact engine,357,0.09247289057116104,0.9003861963724545,0.932434104828395,0.9311573110313985
4,0.1,0.9,0.6,0.4,ROED,local exact engine,357,0.0967227691956335,0.900918232226979,0.9329198356127577,0.9311573110313985
