J,alpha,target,phi_E1,phi_E0,delta_T,delta_E,min_g1,mean_g1,min_g2,fwer
3,0.05,0.8,0.3,0.1,0.025,0.025,0.62625067987016,0.7292417357507397,0.6291882886936322,0.048102372343553745
3,0.05,0.8,0.3,0.1,0.025,0.05,0.5294388952739548,0.6482867269534587,0.5375926440569755,0.048102372343553745
3,0.05,0.8,0.3,0.1,0.05,0.0,0.5245459410141569,0.6446105872483618,0.5259793697317828,0.048102372343553745
3,0.05,0.8,0.3,0.1,0.05,0.025,0.47905919252752294,0.5998741607445954,0.480368319431992,0.048102372343553745
3,0.05,0.8,0.3,0.1,0.05,0.05,0.4077312616379052,0.5261068718616333,0.40884547043032415,0.048102372343553745
3,0.05,0.8,0.6,0.4,0.0,0.0,0.8080546025658857,0.8720728745983717,0.8303890622421713,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.0,0.025,0.7129294458686789,0.8017238141686083,0.7300753297952705,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.0,0.05,0.5805137909169185,0.6912266803782778,0.5922801269847733,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.025,0.0,0.7200752052604551,0.8093741570590132,0.7386923816287926,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.025,0.025,0.6309728139861202,0.738509406466127,0.6443602350196415,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.025,0.05,0.508050844742024,0.6301210577208309,0.5169145538493313,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.05,0.0,0.5815339631491969,0.6979086188154934,0.5965692265175709,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.05,0.025,0.5042099003272462,0.6295004391805741,0.5142050895837195,0.049953225098781306
3,0.05,0.8,0.6,0.4,0.05,0.05,0.40005976644682884,0.5288364412645019,0.40582430727145424,0.049953225098781306
3,0.05,0.9,0.3,0.1,0.0,0.0,0.9020217995219643,0.9359994246663886,0.9182886058336776,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.0,0.025,0.865350479033547,0.9143889067491656,0.8868847930956999,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.0,0.05,0.7908561812376533,0.8658918002770799,0.8063812073511043,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.025,0.0,0.8108525673145663,0.8756664635710774,0.8241061771617354,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.025,0.025,0.7817939027048127,0.8532610902275948,0.7919221482478593,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.025,0.05,0.713573712084404,0.8037567072663885,0.7228181558489941,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.05,0.0,0.6623415718997506,0.7646436440124115,0.6689569415348521,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.05,0.025,0.6345400456941532,0.7420002532078865,0.639806197110005,0.04935905667428664
3,0.05,0.9,0.3,0.1,0.05,0.05,0.573841994606099,0.6931597117861703,0.5786044029881646,0.04935905667428664
3,0.05,0.9,0.6,0.4,0.0,0.0,0.9009318047347221,0.9335367882266269,0.9219678399677177,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.0,0.025,0.8272563553277028,0.8874091664160526,0.8434844948290604,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.0,0.05,0.7042818235145839,0.7989973298831795,0.7138090001412233,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.025,0.0,0.8328897686973893,0.8937121164735735,0.8527798286673156,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.025,0.025,0.7724864874763502,0.8462635342312506,0.7888697946512835,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.025,0.05,0.6571294758131709,0.7568952344961412,0.665186558096013,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.05,0.0,0.6969990306979474,0.8029381150966174,0.711544408558263,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.05,0.025,0.6413293311126268,0.7545558614600829,0.6530794947011567,0.04971131519036687
3,0.05,0.9,0.6,0.4,0.05,0.05,0.5447918575684079,0.6663841469966771,0.5530736119291266,0.04971131519036687
3,0.1,0.8,0.3,0.1,0.0,0.0,0.8084738311835737,0.8699326451230288,0.8473665543686857,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.0,0.025,0.7677727914352016,0.8416291218597415,0.8068168221062297,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.0,0.05,0.6972834761197029,0.7897248819215695,0.726330984074438,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.025,0.0,0.7155852538865304,0.7984038658851207,0.7433682154384798,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.025,0.025,0.6782566219887411,0.7694681845010944,0.7026869917400111,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.025,0.05,0.611498765181429,0.7174053584872268,0.6335779528639098,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.05,0.0,0.588544265286237,0.6899679227390293,0.6028472382969926,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.05,0.025,0.5552655118826268,0.6615565345051115,0.5667139732529238,0.09636096479128553
3,0.1,0.8,0.3,0.1,0.05,0.05,0.4962409172376207,0.6116320338894595,0.5064724098295045,0.09636096479128553
