J,alpha,target,phi_E1,phi_E0,method,total_n,sample_ratio_to_tabata,power_excess,min_g1,mean_g1,min_g2,source
3,0.05,0.9,0.3,0.1,ROED,211,0.9504504504504504,0.0020217995219642404,0.9020217995219643,0.9359994246663886,0.9182886058336776,local exact engine
3,0.05,0.9,0.6,0.4,MERIT,261,0.9560439560439561,0.004209999999999936,0.90421,0.940541,0.94981,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
3,0.05,0.9,0.6,0.4,Tabata,273,1.0,0.010817652389642052,0.9108176523896421,0.9401836720503074,0.9395454708148574,local exact engine
3,0.05,0.9,0.6,0.4,ROED-EA,267,0.978021978021978,0.0017586808830833967,0.9017586808830834,0.9363829390085245,0.9311573110313985,local exact engine
3,0.05,0.9,0.6,0.4,ROED-B,266,0.9743589743589743,0.0028851460525590733,0.9028851460525591,0.9362744001248323,0.9260222901425,local exact engine
3,0.05,0.9,0.6,0.4,ROED,264,0.967032967032967,0.000931804734722097,0.9009318047347221,0.9335367882266269,0.9219678399677177,local exact engine
3,0.1,0.8,0.3,0.1,MERIT,141,0.94,0.0006899999999999684,0.80069,0.870181,0.88167,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
3,0.1,0.8,0.3,0.1,Tabata,150,1.0,0.008385841312302467,0.8083858413123025,0.8709207748072709,0.8501618794896283,local exact engine
3,0.1,0.8,0.3,0.1,ROED-EA,150,1.0,0.008385841312302467,0.8083858413123025,0.8709207748072709,0.8501618794896283,local exact engine
3,0.1,0.8,0.3,0.1,ROED-B,145,0.9666666666666667,0.008473831183573699,0.8084738311835737,0.8699326451230288,0.8473665543686857,local exact engine
3,0.1,0.8,0.3,0.1,ROED,145,0.9666666666666667,0.008473831183573699,0.8084738311835737,0.8699326451230288,0.8473665543686857,local exact engine
3,0.1,0.8,0.6,0.4,MERIT,177,0.9365079365079365,0.00032999999999994145,0.80033,0.8705849999999999,0.89727,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
3,0.1,0.8,0.6,0.4,Tabata,189,1.0,0.0036081853780007833,0.8036081853780008,0.8695250010447353,0.8480981129792418,local exact engine
3,0.1,0.8,0.6,0.4,ROED-EA,183,0.9682539682539683,0.009863255261865933,0.809863255261866,0.8684038777260239,0.8590845310938868,local exact engine
3,0.1,0.8,0.6,0.4,ROED-B,184,0.9735449735449735,9.705861473563449e-05,0.8000970586147357,0.8656112235784932,0.8319352656479162,local exact engine
3,0.1,0.8,0.6,0.4,ROED,183,0.9682539682539683,0.009863255261865933,0.809863255261866,0.8684038777260239,0.8590845310938868,local exact engine
3,0.1,0.9,0.3,0.1,MERIT,201,0.9710144927536232,-0.0016700000000000603,0.89833,0.9367369999999999,0.942,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
3,0.1,0.9,0.3,0.1,Tabata,207,1.0,0.0009337023202186101,0.9009337023202186,0.9346314130978788,0.939864335026908,local exact engine
3,0.1,0.9,0.3,0.1,ROED-EA,201,0.9710144927536232,0.0013066408659533346,0.9013066408659534,0.9336154807698108,0.9182886058336776,local exact engine
3,0.1,0.9,0.3,0.1,ROED-B,196,0.9468599033816425,0.0013323850165419815,0.901332385016542,0.9344513979802451,0.9170420649483398,local exact engine
3,0.1,0.9,0.3,0.1,ROED,196,0.9468599033816425,0.0013323850165419815,0.901332385016542,0.9344513979802451,0.9170420649483398,local exact engine
3,0.1,0.9,0.6,0.4,MERIT,258,1.0,0.0010999999999999899,0.9011,0.938767,0.95917,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
3,0.1,0.9,0.6,0.4,Tabata,258,1.0,0.0034101847118651607,0.9034101847118652,0.9332334668444974,0.9460423979516466,local exact engine
3,0.1,0.9,0.6,0.4,ROED-EA,249,0.9651162790697675,1.350487119289312e-05,0.9000135048711929,0.9337910517613552,0.9296722402601778,local exact engine
3,0.1,0.9,0.6,0.4,ROED-B,247,0.9573643410852714,0.0016136482167037336,0.9016136482167038,0.9335292615084795,0.9371740471062199,local exact engine
3,0.1,0.9,0.6,0.4,ROED,247,0.9573643410852714,0.0016136482167037336,0.9016136482167038,0.9335292615084795,0.9371740471062199,local exact engine
4,0.05,0.8,0.3,0.1,MERIT,208,0.8253968253968254,-0.0019200000000000328,0.79808,0.86666,0.83865,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
4,0.05,0.8,0.3,0.1,Tabata,252,1.0,0.029446729465192223,0.8294467294651923,0.8891329308282426,0.8536153531888567,local exact engine
4,0.05,0.8,0.3,0.1,ROED-EA,252,1.0,0.029446729465192223,0.8294467294651923,0.8891329308282426,0.8536153531888567,local exact engine
4,0.05,0.8,0.3,0.1,ROED-B,241,0.9563492063492064,0.0036812474185191624,0.8036812474185192,0.8703020158161232,0.8145683489679454,local exact engine
4,0.05,0.8,0.3,0.1,ROED,241,0.9563492063492064,0.0036812474185191624,0.8036812474185192,0.8703020158161232,0.8145683489679454,local exact engine
4,0.05,0.8,0.6,0.4,MERIT,260,0.8333333333333334,0.003529999999999922,0.80353,0.8672514285714286,0.85118,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
4,0.05,0.8,0.6,0.4,Tabata,312,1.0,0.0183822087318537,0.8183822087318537,0.8792731809709589,0.8386300014550234,local exact engine
4,0.05,0.8,0.6,0.4,ROED-EA,308,0.9871794871794872,0.008092205216567283,0.8080922052165673,0.8752354362866216,0.8316315853725748,local exact engine
4,0.05,0.8,0.6,0.4,ROED-B,298,0.9551282051282052,0.001079980878680331,0.8010799808786804,0.8693472542880628,0.8167769938871319,local exact engine
4,0.05,0.8,0.6,0.4,ROED,296,0.9487179487179487,0.0012172163087106336,0.8012172163087107,0.8701926638531743,0.8267142836011159,local exact engine
4,0.05,0.9,0.3,0.1,MERIT,276,0.8846153846153846,7.999999999996898e-05,0.90008,0.9345528571428572,0.94406,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
4,0.05,0.9,0.3,0.1,Tabata,312,1.0,0.007019667446384714,0.9070196674463847,0.93902856366564,0.937132751049639,local exact engine
4,0.05,0.9,0.3,0.1,ROED-EA,312,1.0,0.007019667446384714,0.9070196674463847,0.93902856366564,0.937132751049639,local exact engine
4,0.05,0.9,0.3,0.1,ROED-B,302,0.967948717948718,0.0017956926555849906,0.901795692655585,0.9365276222802175,0.9161253274158775,local exact engine
4,0.05,0.9,0.3,0.1,ROED,301,0.9647435897435898,0.0009046213955432592,0.9009046213955433,0.936078129211908,0.9161253274158775,local exact engine
4,0.05,0.9,0.6,0.4,MERIT,348,0.90625,0.0022199999999999998,0.90222,0.9357592857142857,0.94921,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
